Date,Year,Month,Day,Hour Ending,Solar Generation (MW)
2009-07-01 00:00:00,2009,7,1,1,0
2009-07-01 01:00:00,2009,7,1,2,0
2009-07-01 02:00:00,2009,7,1,3,0
2009-07-01 03:00:00,2009,7,1,4,0
2009-07-01 04:00:00,2009,7,1,5,0
2009-07-01 05:00:00,2009,7,1,6,6.752346
2009-07-01 06:00:00,2009,7,1,7,18.727136
2009-07-01 07:00:00,2009,7,1,8,22.925624
2009-07-01 08:00:00,2009,7,1,9,24.219338
2009-07-01 09:00:00,2009,7,1,10,20.008455
2009-07-01 10:00:00,2009,7,1,11,24.109458
2009-07-01 11:00:00,2009,7,1,12,24.836743
2009-07-01 12:00:00,2009,7,1,13,24.409379
2009-07-01 13:00:00,2009,7,1,14,24.877834
2009-07-01 14:00:00,2009,7,1,15,25
2009-07-01 15:00:00,2009,7,1,16,14.577933
2009-07-01 16:00:00,2009,7,1,17,16.252922
2009-07-01 17:00:00,2009,7,1,18,17.671102
2009-07-01 18:00:00,2009,7,1,19,5.287608
2009-07-01 19:00:00,2009,7,1,20,0
2009-07-01 20:00:00,2009,7,1,21,0
2009-07-01 21:00:00,2009,7,1,22,0
2009-07-01 22:00:00,2009,7,1,23,0
2009-07-01 23:00:00,2009,7,1,24,0
2009-07-02 00:00:00,2009,7,2,1,0
2009-07-02 01:00:00,2009,7,2,2,0
2009-07-02 02:00:00,2009,7,2,3,0
2009-07-02 03:00:00,2009,7,2,4,0
2009-07-02 04:00:00,2009,7,2,5,0
2009-07-02 05:00:00,2009,7,2,6,5.51591
2009-07-02 06:00:00,2009,7,2,7,18.090066
2009-07-02 07:00:00,2009,7,2,8,22.423309
2009-07-02 08:00:00,2009,7,2,9,24.020135
2009-07-02 09:00:00,2009,7,2,10,25
2009-07-02 10:00:00,2009,7,2,11,25
2009-07-02 11:00:00,2009,7,2,12,25
2009-07-02 12:00:00,2009,7,2,13,25
2009-07-02 13:00:00,2009,7,2,14,25
2009-07-02 14:00:00,2009,7,2,15,25
2009-07-02 15:00:00,2009,7,2,16,24.632907
2009-07-02 16:00:00,2009,7,2,17,22.494242
2009-07-02 17:00:00,2009,7,2,18,17.542479
2009-07-02 18:00:00,2009,7,2,19,4.834329
2009-07-02 19:00:00,2009,7,2,20,0
2009-07-02 20:00:00,2009,7,2,21,0
2009-07-02 21:00:00,2009,7,2,22,0
2009-07-02 22:00:00,2009,7,2,23,0
2009-07-02 23:00:00,2009,7,2,24,0
2009-07-03 00:00:00,2009,7,3,1,0
2009-07-03 01:00:00,2009,7,3,2,0
2009-07-03 02:00:00,2009,7,3,3,0
2009-07-03 03:00:00,2009,7,3,4,0
2009-07-03 04:00:00,2009,7,3,5,0
2009-07-03 05:00:00,2009,7,3,6,4.908039
2009-07-03 06:00:00,2009,7,3,7,18.284936
2009-07-03 07:00:00,2009,7,3,8,22.538144
2009-07-03 08:00:00,2009,7,3,9,23.863823
2009-07-03 09:00:00,2009,7,3,10,24.597909
2009-07-03 10:00:00,2009,7,3,11,24.699567
2009-07-03 11:00:00,2009,7,3,12,25
2009-07-03 12:00:00,2009,7,3,13,25
2009-07-03 13:00:00,2009,7,3,14,25
2009-07-03 14:00:00,2009,7,3,15,25
2009-07-03 15:00:00,2009,7,3,16,24.769987
2009-07-03 16:00:00,2009,7,3,17,22.754453
2009-07-03 17:00:00,2009,7,3,18,18.111023
2009-07-03 18:00:00,2009,7,3,19,5.131902
2009-07-03 19:00:00,2009,7,3,20,0
2009-07-03 20:00:00,2009,7,3,21,0
2009-07-03 21:00:00,2009,7,3,22,0
2009-07-03 22:00:00,2009,7,3,23,0
2009-07-03 23:00:00,2009,7,3,24,0
2009-07-04 00:00:00,2009,7,4,1,0
2009-07-04 01:00:00,2009,7,4,2,0
2009-07-04 02:00:00,2009,7,4,3,0
2009-07-04 03:00:00,2009,7,4,4,0
2009-07-04 04:00:00,2009,7,4,5,0
2009-07-04 05:00:00,2009,7,4,6,5.57647
2009-07-04 06:00:00,2009,7,4,7,18.469876
2009-07-04 07:00:00,2009,7,4,8,23.18427
2009-07-04 08:00:00,2009,7,4,9,24.784104
2009-07-04 09:00:00,2009,7,4,10,25
2009-07-04 10:00:00,2009,7,4,11,25
2009-07-04 11:00:00,2009,7,4,12,25
2009-07-04 12:00:00,2009,7,4,13,25
2009-07-04 13:00:00,2009,7,4,14,25
2009-07-04 14:00:00,2009,7,4,15,25
2009-07-04 15:00:00,2009,7,4,16,25
2009-07-04 16:00:00,2009,7,4,17,22.810922
2009-07-04 17:00:00,2009,7,4,18,18.14546
2009-07-04 18:00:00,2009,7,4,19,5.055071
2009-07-04 19:00:00,2009,7,4,20,0
2009-07-04 20:00:00,2009,7,4,21,0
2009-07-04 21:00:00,2009,7,4,22,0
2009-07-04 22:00:00,2009,7,4,23,0
2009-07-04 23:00:00,2009,7,4,24,0
2009-07-05 00:00:00,2009,7,5,1,0
2009-07-05 01:00:00,2009,7,5,2,0
2009-07-05 02:00:00,2009,7,5,3,0
2009-07-05 03:00:00,2009,7,5,4,0
2009-07-05 04:00:00,2009,7,5,5,0
2009-07-05 05:00:00,2009,7,5,6,5.61422
2009-07-05 06:00:00,2009,7,5,7,18.817325
2009-07-05 07:00:00,2009,7,5,8,23.433669
2009-07-05 08:00:00,2009,7,5,9,24.989577
2009-07-05 09:00:00,2009,7,5,10,25
2009-07-05 10:00:00,2009,7,5,11,25
2009-07-05 11:00:00,2009,7,5,12,25
2009-07-05 12:00:00,2009,7,5,13,25
2009-07-05 13:00:00,2009,7,5,14,25
2009-07-05 14:00:00,2009,7,5,15,25
2009-07-05 15:00:00,2009,7,5,16,24.825927
2009-07-05 16:00:00,2009,7,5,17,22.86161
2009-07-05 17:00:00,2009,7,5,18,18.025564
2009-07-05 18:00:00,2009,7,5,19,4.934193
2009-07-05 19:00:00,2009,7,5,20,0
2009-07-05 20:00:00,2009,7,5,21,0
2009-07-05 21:00:00,2009,7,5,22,0
2009-07-05 22:00:00,2009,7,5,23,0
2009-07-05 23:00:00,2009,7,5,24,0
2009-07-06 00:00:00,2009,7,6,1,0
2009-07-06 01:00:00,2009,7,6,2,0
2009-07-06 02:00:00,2009,7,6,3,0
2009-07-06 03:00:00,2009,7,6,4,0
2009-07-06 04:00:00,2009,7,6,5,0
2009-07-06 05:00:00,2009,7,6,6,4.611889
2009-07-06 06:00:00,2009,7,6,7,18.444482
2009-07-06 07:00:00,2009,7,6,8,23.187343
2009-07-06 08:00:00,2009,7,6,9,24.864355
2009-07-06 09:00:00,2009,7,6,10,25
2009-07-06 10:00:00,2009,7,6,11,25
2009-07-06 11:00:00,2009,7,6,12,25
2009-07-06 12:00:00,2009,7,6,13,25
2009-07-06 13:00:00,2009,7,6,14,25
2009-07-06 14:00:00,2009,7,6,15,25
2009-07-06 15:00:00,2009,7,6,16,25
2009-07-06 16:00:00,2009,7,6,17,23.076923
2009-07-06 17:00:00,2009,7,6,18,18.214056
2009-07-06 18:00:00,2009,7,6,19,4.691049
2009-07-06 19:00:00,2009,7,6,20,0
2009-07-06 20:00:00,2009,7,6,21,0
2009-07-06 21:00:00,2009,7,6,22,0
2009-07-06 22:00:00,2009,7,6,23,0
2009-07-06 23:00:00,2009,7,6,24,0
2009-07-07 00:00:00,2009,7,7,1,0
2009-07-07 01:00:00,2009,7,7,2,0
2009-07-07 02:00:00,2009,7,7,3,0
2009-07-07 03:00:00,2009,7,7,4,0
2009-07-07 04:00:00,2009,7,7,5,0
2009-07-07 05:00:00,2009,7,7,6,4.622784
2009-07-07 06:00:00,2009,7,7,7,18.567815
2009-07-07 07:00:00,2009,7,7,8,23.328781
