Date,Year,Month,Day,Hour Ending,Solar Generation (MW),Electricity Price
2009-07-01 00:00:00,2009,7,1,1,0,5.55
2009-07-01 01:00:00,2009,7,1,2,0,-4.78
2009-07-01 02:00:00,2009,7,1,3,0,-15.61
2009-07-01 03:00:00,2009,7,1,4,0,-30.99
2009-07-01 04:00:00,2009,7,1,5,0,-22.2
2009-07-01 05:00:00,2009,7,1,6,6.752346,-7.64
2009-07-01 06:00:00,2009,7,1,7,18.727136,-12.83
2009-07-01 07:00:00,2009,7,1,8,22.925624,22.87
2009-07-01 08:00:00,2009,7,1,9,24.219338,27.71
2009-07-01 09:00:00,2009,7,1,10,20.008455,26.83
2009-07-01 10:00:00,2009,7,1,11,24.109458,33.45
2009-07-01 11:00:00,2009,7,1,12,24.836743,33.69
2009-07-01 12:00:00,2009,7,1,13,24.409379,34.93
2009-07-01 13:00:00,2009,7,1,14,24.877834,36.01
2009-07-01 14:00:00,2009,7,1,15,25,35.9
2009-07-01 15:00:00,2009,7,1,16,14.577933,39.33
2009-07-01 16:00:00,2009,7,1,17,16.252922,46.44
2009-07-01 17:00:00,2009,7,1,18,17.671102,38.84
2009-07-01 18:00:00,2009,7,1,19,5.287608,33.91
2009-07-01 19:00:00,2009,7,1,20,0,28.99
2009-07-01 20:00:00,2009,7,1,21,0,35.91
2009-07-01 21:00:00,2009,7,1,22,0,32.21
2009-07-01 22:00:00,2009,7,1,23,0,29.17
2009-07-01 23:00:00,2009,7,1,24,0,31.16
2009-07-02 00:00:00,2009,7,2,1,0,27.76
2009-07-02 01:00:00,2009,7,2,2,0,24.99
2009-07-02 02:00:00,2009,7,2,3,0,22.64
2009-07-02 03:00:00,2009,7,2,4,0,21.59
2009-07-02 04:00:00,2009,7,2,5,0,22.22
2009-07-02 05:00:00,2009,7,2,6,5.51591,22.93
2009-07-02 06:00:00,2009,7,2,7,18.090066,4.43
2009-07-02 07:00:00,2009,7,2,8,22.423309,22.11
2009-07-02 08:00:00,2009,7,2,9,24.020135,26.39
2009-07-02 09:00:00,2009,7,2,10,25,34.37
2009-07-02 10:00:00,2009,7,2,11,25,37.24
2009-07-02 11:00:00,2009,7,2,12,25,43.56
2009-07-02 12:00:00,2009,7,2,13,25,38.08
2009-07-02 13:00:00,2009,7,2,14,25,33.47
2009-07-02 14:00:00,2009,7,2,15,25,37.63
2009-07-02 15:00:00,2009,7,2,16,24.632907,102.82
2009-07-02 16:00:00,2009,7,2,17,22.494242,165.71
2009-07-02 17:00:00,2009,7,2,18,17.542479,38.8
2009-07-02 18:00:00,2009,7,2,19,4.834329,36.27
2009-07-02 19:00:00,2009,7,2,20,0,28.06
2009-07-02 20:00:00,2009,7,2,21,0,33.46
2009-07-02 21:00:00,2009,7,2,22,0,31.75
2009-07-02 22:00:00,2009,7,2,23,0,30.04
2009-07-02 23:00:00,2009,7,2,24,0,31.53
2009-07-03 00:00:00,2009,7,3,1,0,27.58
2009-07-03 01:00:00,2009,7,3,2,0,26.38
2009-07-03 02:00:00,2009,7,3,3,0,23.7
2009-07-03 03:00:00,2009,7,3,4,0,20.01
2009-07-03 04:00:00,2009,7,3,5,0,19.83
2009-07-03 05:00:00,2009,7,3,6,4.908039,19.52
2009-07-03 06:00:00,2009,7,3,7,18.284936,5.43
2009-07-03 07:00:00,2009,7,3,8,22.538144,19.06
2009-07-03 08:00:00,2009,7,3,9,23.863823,1.91
2009-07-03 09:00:00,2009,7,3,10,24.597909,21.14
2009-07-03 10:00:00,2009,7,3,11,24.699567,27.39
2009-07-03 11:00:00,2009,7,3,12,25,27.16
2009-07-03 12:00:00,2009,7,3,13,25,33.33
2009-07-03 13:00:00,2009,7,3,14,25,32.98
2009-07-03 14:00:00,2009,7,3,15,25,34.93
2009-07-03 15:00:00,2009,7,3,16,24.769987,37
2009-07-03 16:00:00,2009,7,3,17,22.754453,37.06
2009-07-03 17:00:00,2009,7,3,18,18.111023,33.22
2009-07-03 18:00:00,2009,7,3,19,5.131902,27.92
2009-07-03 19:00:00,2009,7,3,20,0,25.12
2009-07-03 20:00:00,2009,7,3,21,0,35.58
2009-07-03 21:00:00,2009,7,3,22,0,25.66
2009-07-03 22:00:00,2009,7,3,23,0,28.3
2009-07-03 23:00:00,2009,7,3,24,0,24.47
2009-07-04 00:00:00,2009,7,4,1,0,26.69
2009-07-04 01:00:00,2009,7,4,2,0,26.42
2009-07-04 02:00:00,2009,7,4,3,0,21.58
2009-07-04 03:00:00,2009,7,4,4,0,23.38
2009-07-04 04:00:00,2009,7,4,5,0,17.94
2009-07-04 05:00:00,2009,7,4,6,5.57647,5.27
2009-07-04 06:00:00,2009,7,4,7,18.469876,6.37
2009-07-04 07:00:00,2009,7,4,8,23.18427,18.16
2009-07-04 08:00:00,2009,7,4,9,24.784104,-2.49
2009-07-04 09:00:00,2009,7,4,10,25,5.5
2009-07-04 10:00:00,2009,7,4,11,25,14.41
2009-07-04 11:00:00,2009,7,4,12,25,20.33
2009-07-04 12:00:00,2009,7,4,13,25,20.88
2009-07-04 13:00:00,2009,7,4,14,25,21.66
2009-07-04 14:00:00,2009,7,4,15,25,20.83
2009-07-04 15:00:00,2009,7,4,16,25,21.65
2009-07-04 16:00:00,2009,7,4,17,22.810922,22.84
2009-07-04 17:00:00,2009,7,4,18,18.14546,24.76
2009-07-04 18:00:00,2009,7,4,19,5.055071,22.97
2009-07-04 19:00:00,2009,7,4,20,0,20.24
2009-07-04 20:00:00,2009,7,4,21,0,21.38
2009-07-04 21:00:00,2009,7,4,22,0,20.66
2009-07-04 22:00:00,2009,7,4,23,0,25.55
2009-07-04 23:00:00,2009,7,4,24,0,29.87
2009-07-05 00:00:00,2009,7,5,1,0,21.24
2009-07-05 01:00:00,2009,7,5,2,0,20.96
2009-07-05 02:00:00,2009,7,5,3,0,20.38
2009-07-05 03:00:00,2009,7,5,4,0,5.3
2009-07-05 04:00:00,2009,7,5,5,0,-30.2
2009-07-05 05:00:00,2009,7,5,6,5.61422,11.39
2009-07-05 06:00:00,2009,7,5,7,18.817325,17.34
2009-07-05 07:00:00,2009,7,5,8,23.433669,21.61
2009-07-05 08:00:00,2009,7,5,9,24.989577,-9.05
2009-07-05 09:00:00,2009,7,5,10,25,6.57
2009-07-05 10:00:00,2009,7,5,11,25,17.4
2009-07-05 11:00:00,2009,7,5,12,25,20.11
2009-07-05 12:00:00,2009,7,5,13,25,21.9
2009-07-05 13:00:00,2009,7,5,14,25,25.02
2009-07-05 14:00:00,2009,7,5,15,25,25.84
2009-07-05 15:00:00,2009,7,5,16,24.825927,24.24
2009-07-05 16:00:00,2009,7,5,17,22.86161,26.14
2009-07-05 17:00:00,2009,7,5,18,18.025564,28.8
2009-07-05 18:00:00,2009,7,5,19,4.934193,26.38
2009-07-05 19:00:00,2009,7,5,20,0,23.4
2009-07-05 20:00:00,2009,7,5,21,0,22.48
2009-07-05 21:00:00,2009,7,5,22,0,24.22
2009-07-05 22:00:00,2009,7,5,23,0,22.97
2009-07-05 23:00:00,2009,7,5,24,0,-0.58
2009-07-06 00:00:00,2009,7,6,1,0,2.2
2009-07-06 01:00:00,2009,7,6,2,0,16
2009-07-06 02:00:00,2009,7,6,3,0,0.07
2009-07-06 03:00:00,2009,7,6,4,0,-30.17
2009-07-06 04:00:00,2009,7,6,5,0,4.76
2009-07-06 05:00:00,2009,7,6,6,4.611889,20.49
2009-07-06 06:00:00,2009,7,6,7,18.444482,-4.6
2009-07-06 07:00:00,2009,7,6,8,23.187343,-6.96
2009-07-06 08:00:00,2009,7,6,9,24.864355,-6.29
2009-07-06 09:00:00,2009,7,6,10,25,14.89
2009-07-06 10:00:00,2009,7,6,11,25,19.28
2009-07-06 11:00:00,2009,7,6,12,25,20.95
2009-07-06 12:00:00,2009,7,6,13,25,19.94
2009-07-06 13:00:00,2009,7,6,14,25,22.78
2009-07-06 14:00:00,2009,7,6,15,25,23.56
2009-07-06 15:00:00,2009,7,6,16,25,26.29
2009-07-06 16:00:00,2009,7,6,17,23.076923,25.28
2009-07-06 17:00:00,2009,7,6,18,18.214056,22.77
2009-07-06 18:00:00,2009,7,6,19,4.691049,20.96
2009-07-06 19:00:00,2009,7,6,20,0,19.63
2009-07-06 20:00:00,2009,7,6,21,0,21.29
2009-07-06 21:00:00,2009,7,6,22,0,21.39
2009-07-06 22:00:00,2009,7,6,23,0,20.84
2009-07-06 23:00:00,2009,7,6,24,0,10.39
2009-07-07 00:00:00,2009,7,7,1,0,-14.78
2009-07-07 01:00:00,2009,7,7,2,0,-5.82
2009-07-07 02:00:00,2009,7,7,3,0,-1.16
2009-07-07 03:00:00,2009,7,7,4,0,10.59
2009-07-07 04:00:00,2009,7,7,5,0,22.96
2009-07-07 05:00:00,2009,7,7,6,4.622784,16.96
2009-07-07 06:00:00,2009,7,7,7,18.567815,-9.67
2009-07-07 07:00:00,2009,7,7,8,23.328781,8.16
2009-07-07 08:00:00,2009,7,7,9,25,22.78
2009-07-07 09:00:00,2009,7,7,10,25,20.87
2009-07-07 10:00:00,2009,7,7,11,25,27.1
2009-07-07 11:00:00,2009,7,7,12,25,24.69
2009-07-07 12:00:00,2009,7,7,13,25,22.07
2009-07-07 13:00:00,2009,7,7,14,25,24.01
2009-07-07 14:00:00,2009,7,7,15,25,26.76
2009-07-07 15:00:00,2009,7,7,16,25,26.82
