location,date,new_cases,rollingCases
Afghanistan,2020-02-24,5.0,
Afghanistan,2020-02-25,0.0,
Afghanistan,2020-02-26,0.0,
Afghanistan,2020-02-27,0.0,
Afghanistan,2020-02-28,0.0,
Afghanistan,2020-02-29,0.0,
Afghanistan,2020-03-01,0.0,
Afghanistan,2020-03-02,0.0,
Afghanistan,2020-03-03,0.0,
Afghanistan,2020-03-04,0.0,
Afghanistan,2020-03-05,0.0,
Afghanistan,2020-03-06,0.0,
Afghanistan,2020-03-07,3.0,
Afghanistan,2020-03-08,0.0,
Afghanistan,2020-03-09,0.0,
Afghanistan,2020-03-10,0.0,
Afghanistan,2020-03-11,3.0,
Afghanistan,2020-03-12,0.0,
Afghanistan,2020-03-13,0.0,
Afghanistan,2020-03-14,3.0,
Afghanistan,2020-03-15,6.0,
Afghanistan,2020-03-16,5.0,
Afghanistan,2020-03-17,1.0,
Afghanistan,2020-03-18,0.0,
Afghanistan,2020-03-19,0.0,
Afghanistan,2020-03-20,-2.0,
Afghanistan,2020-03-21,0.0,
Afghanistan,2020-03-22,10.0,
Afghanistan,2020-03-23,6.0,
Afghanistan,2020-03-24,2.0,
Afghanistan,2020-03-25,32.0,
Afghanistan,2020-03-26,6.0,
Afghanistan,2020-03-27,11.0,
Afghanistan,2020-03-28,15.0,
Afghanistan,2020-03-29,8.0,
Afghanistan,2020-03-30,0.0,
Afghanistan,2020-03-31,52.0,
Afghanistan,2020-04-01,26.0,
Afghanistan,2020-04-02,43.0,
Afghanistan,2020-04-03,34.0,
Afghanistan,2020-04-04,1.0,
Afghanistan,2020-04-05,29.0,
Afghanistan,2020-04-06,38.0,
Afghanistan,2020-04-07,30.0,
Afghanistan,2020-04-08,56.0,
Afghanistan,2020-04-09,21.0,
Afghanistan,2020-04-10,77.0,
Afghanistan,2020-04-11,0.0,
Afghanistan,2020-04-12,34.0,
Afghanistan,2020-04-13,52.0,
Afghanistan,2020-04-14,58.0,
Afghanistan,2020-04-15,105.0,
Afghanistan,2020-04-16,24.0,
Afghanistan,2020-04-17,51.0,
Afghanistan,2020-04-18,63.0,
Afghanistan,2020-04-19,25.0,
Afghanistan,2020-04-20,63.0,
Afghanistan,2020-04-21,30.0,
Afghanistan,2020-04-22,66.0,
Afghanistan,2020-04-23,84.0,
Afghanistan,2020-04-24,50.0,
Afghanistan,2020-04-25,104.0,
Afghanistan,2020-04-26,133.0,
Afghanistan,2020-04-27,68.0,
Afghanistan,2020-04-28,172.0,
Afghanistan,2020-04-29,124.0,
Afghanistan,2020-04-30,0.0,
Afghanistan,2020-05-01,344.0,
Afghanistan,2020-05-02,298.0,
Afghanistan,2020-05-03,0.0,
Afghanistan,2020-05-04,0.0,
Afghanistan,2020-05-05,0.0,
Afghanistan,2020-05-06,755.0,
Afghanistan,2020-05-07,168.0,
Afghanistan,2020-05-08,171.0,
Afghanistan,2020-05-09,0.0,
Afghanistan,2020-05-10,839.0,
Afghanistan,2020-05-11,262.0,
Afghanistan,2020-05-12,303.0,
Afghanistan,2020-05-13,0.0,
Afghanistan,2020-05-14,372.0,
Afghanistan,2020-05-15,714.0,
Afghanistan,2020-05-16,349.0,
Afghanistan,2020-05-17,233.0,
Afghanistan,2020-05-18,437.0,
Afghanistan,2020-05-19,583.0,
Afghanistan,2020-05-20,490.0,
Afghanistan,2020-05-21,531.0,
Afghanistan,2020-05-22,540.0,
Afghanistan,2020-05-23,736.0,
Afghanistan,2020-05-24,716.0,
Afghanistan,2020-05-25,512.0,
Afghanistan,2020-05-26,737.0,
Afghanistan,2020-05-27,548.0,
Afghanistan,2020-05-28,637.0,
Afghanistan,2020-05-29,643.0,
Afghanistan,2020-05-30,784.0,
Afghanistan,2020-05-31,651.0,
Afghanistan,2020-06-01,656.0,
Afghanistan,2020-06-02,742.0,
Afghanistan,2020-06-03,775.0,
Afghanistan,2020-06-04,624.0,
Afghanistan,2020-06-05,1078.0,
Afghanistan,2020-06-06,582.0,
Afghanistan,2020-06-07,791.0,
Afghanistan,2020-06-08,575.0,
Afghanistan,2020-06-09,305.0,
Afghanistan,2020-06-10,920.0,
Afghanistan,2020-06-11,748.0,
Afghanistan,2020-06-12,656.0,
Afghanistan,2020-06-13,556.0,
Afghanistan,2020-06-14,664.0,
Afghanistan,2020-06-15,761.0,
Afghanistan,2020-06-16,106.0,
Afghanistan,2020-06-17,1241.0,
