Date,Continent,Total cases,Total deaths,Total fully vaccinated
2020-01,Asia,9889,213,0
2020-02,Asia,83728,2904,0
2020-03,Asia,179024,7141,0
2020-04,Asia,520649,18703,0
2020-05,Asia,1138617,30828,0
2020-06,Asia,2305132,56972,0
2020-07,Asia,4296460,96722,0
2020-08,Asia,7113922,142709,0
2020-09,Asia,10668685,195115,0
2020-10,Asia,13714492,243331,0
2020-11,Asia,16791052,292249,0
2020-12,Asia,20716183,337854,1
2021-01,Asia,23114261,373325,1874786
2021-02,Asia,25023135,398982,8560997
2021-03,Asia,28507984,430796,25689724
2021-04,Asia,39526221,523558,54828149
2021-05,Asia,51265570,689446,95431772
2021-06,Asia,55821997,794887,144550692
2021-07,Asia,62011790,899502,156992496
2021-08,Asia,70108090,1037898,423627029
2021-09,Asia,75823835,1126782,614689045
2021-10,Asia,79367054,1175927,806432274
2020-01,Africa,0,0,0
2020-02,Africa,3,0,0
2020-03,Africa,5779,200,0
2020-04,Africa,38753,1634,0
2020-05,Africa,146551,4222,0
2020-06,Africa,404891,10146,0
2020-07,Africa,928075,19680,0
2020-08,Africa,1252229,29812,0
2020-09,Africa,1481928,35863,0
2020-10,Africa,1785473,42853,0
2020-11,Africa,2174315,51992,0
2020-12,Africa,2760450,65468,0
2021-01,Africa,3569598,90970,0
2021-02,Africa,3897277,103706,70527
2021-03,Africa,4217303,112757,3955666
2021-04,Africa,4557664,121783,4720287
2021-05,Africa,4840295,130634,7398170
2021-06,Africa,5504513,142935,11025761
2021-07,Africa,6709040,170067,11240178
2021-08,Africa,7790394,196278,25950748
2021-09,Africa,8286283,210407,25605853
2021-10,Africa,8499387,218234,49480350
2020-01,North America,12,0,0
2020-02,North America,50,1,0
2020-03,North America,205818,5643,0
2020-04,North America,1175319,72893,0
2020-05,North America,2032330,126917,0
2020-06,North America,3100203,167066,0
2020-07,North America,5386054,216387,0
2020-08,North America,7170175,267036,0
2020-09,North America,8675611,306556,0
2020-10,North America,10989486,348290,0
2020-11,North America,15956801,405573,0
2020-12,North America,23138198,512625,31532
2021-01,North America,30146124,650026,7411904
2021-02,North America,32996256,747937,30563674
2021-03,North America,35208005,805711,64938783
2021-04,North America,37607581,847058,122199711
2021-05,North America,38978488,877248,160960882
2021-06,North America,39760224,901812,196347476
2021-07,North America,41836852,923652,223459985
2021-08,North America,47241069,977284,254104087
2021-09,North America,52314833,1062299,277445476
2021-10,North America,55282827,1126781,300175899
2020-01,South America,0,0,0
2020-02,South America,4,0,0
2020-03,South America,14496,484,0
2020-04,South America,180235,12541,0
2020-05,South America,901684,56287,0
2020-06,South America,2228423,113591,0
2020-07,South America,4101837,180535,0
2020-08,South America,6301683,247053,0
2020-09,South America,8064429,302800,0
2020-10,South America,9664785,346791,0
2020-11,South America,11130276,378891,0
2020-12,South America,13194159,418041,0
2021-01,South America,15877836,478635,10414
2021-02,South America,17968065,542707,2271309
2021-03,South America,21149540,643640,9500016
2021-04,South America,24878216,777639,24537821
2021-05,South America,28786883,894636,39842322
2021-06,South America,32881723,1004715,29063058
2021-07,South America,35508526,1089793,85165246
2021-08,South America,36884568,1130218,67398719
2021-09,South America,37771825,1154951,151025482
2021-10,South America,38374959,1170161,215904339
2020-01,Europe,17,0,0
2020-02,Europe,1506,32,0
2020-03,Europe,465055,31173,0
2020-04,Europe,1357788,135098,0
2020-05,Europe,1959828,172559,0
2020-06,Europe,2409251,188085,0
2020-07,Europe,2871494,198424,0
2020-08,Europe,3640769,208110,0
2020-09,Europe,5091364,222955,0
2020-10,Europe,9964392,266505,0
2020-11,Europe,17359459,395618,0
2020-12,Europe,23888927,545720,892
2021-01,Europe,30543471,704119,2980497
2021-02,Europe,34612905,814861,12828457
2021-03,Europe,40195493,915196,32181537
2021-04,Europe,45236397,1016674,56078251
2021-05,Europe,47270229,1074331,119585438
2021-06,Europe,48644735,1105284,189193636
2021-07,Europe,52195143,1135956,247985926
2021-08,Europe,56104179,1176754,334074379
2021-09,Europe,59827853,1228211,340134225
2021-10,Europe,65378196,1307040,353708663
