Date,Year,Month,Hour Ending,Electricity Price
2009-07-01 00:00:00,2009,7,1,5.55
2009-07-01 00:00:00,2009,7,2,-4.78
2009-07-01 00:00:00,2009,7,3,-15.61
2009-07-01 00:00:00,2009,7,4,-30.99
2009-07-01 00:00:00,2009,7,5,-22.2
2009-07-01 00:00:00,2009,7,6,-7.64
2009-07-01 00:00:00,2009,7,7,-12.83
2009-07-01 00:00:00,2009,7,8,22.87
2009-07-01 00:00:00,2009,7,9,27.71
2009-07-01 00:00:00,2009,7,10,26.83
2009-07-01 00:00:00,2009,7,11,33.45
2009-07-01 00:00:00,2009,7,12,33.69
2009-07-01 00:00:00,2009,7,13,34.93
2009-07-01 00:00:00,2009,7,14,36.01
2009-07-01 00:00:00,2009,7,15,35.9
2009-07-01 00:00:00,2009,7,16,39.33
2009-07-01 00:00:00,2009,7,17,46.44
2009-07-01 00:00:00,2009,7,18,38.84
2009-07-01 00:00:00,2009,7,19,33.91
2009-07-01 00:00:00,2009,7,20,28.99
2009-07-01 00:00:00,2009,7,21,35.91
2009-07-01 00:00:00,2009,7,22,32.21
2009-07-01 00:00:00,2009,7,23,29.17
2009-07-01 00:00:00,2009,7,24,31.16
2009-07-02 00:00:00,2009,7,1,27.76
2009-07-02 00:00:00,2009,7,2,24.99
2009-07-02 00:00:00,2009,7,3,22.64
2009-07-02 00:00:00,2009,7,4,21.59
2009-07-02 00:00:00,2009,7,5,22.22
2009-07-02 00:00:00,2009,7,6,22.93
2009-07-02 00:00:00,2009,7,7,4.43
2009-07-02 00:00:00,2009,7,8,22.11
2009-07-02 00:00:00,2009,7,9,26.39
2009-07-02 00:00:00,2009,7,10,34.37
2009-07-02 00:00:00,2009,7,11,37.24
2009-07-02 00:00:00,2009,7,12,43.56
2009-07-02 00:00:00,2009,7,13,38.08
2009-07-02 00:00:00,2009,7,14,33.47
2009-07-02 00:00:00,2009,7,15,37.63
2009-07-02 00:00:00,2009,7,16,102.82
2009-07-02 00:00:00,2009,7,17,165.71
2009-07-02 00:00:00,2009,7,18,38.8
2009-07-02 00:00:00,2009,7,19,36.27
2009-07-02 00:00:00,2009,7,20,28.06
2009-07-02 00:00:00,2009,7,21,33.46
2009-07-02 00:00:00,2009,7,22,31.75
2009-07-02 00:00:00,2009,7,23,30.04
2009-07-02 00:00:00,2009,7,24,31.53
