Time,Event,
00:01.635,Rage Winterchill Melee Armadomin Dodge,
00:03.647,"Rage Winterchill Melee Armadomin 4501 (U: 12926, M: 8425, 65.18%)",
00:04.392,Rage Winterchill Melee Armadomin Dodge,
00:06.388,Rage Winterchill Melee Armadomin Dodge,
00:08.438,Rage Winterchill Melee Armadomin Dodge,
00:08.547,Vladamin Seal of the Martyr Vladamin 44 (U: 44),
00:10.482,Rage Winterchill Icebolt Xrd 4797 (U: 4797),
00:10.525,Environment Shadow Word: Death Eriic Tick 1796 (U: 1796),
00:10.978,"Rage Winterchill Melee Armadomin 4869 Crushing (U: 12188, M: 7319, 60.05%)",
00:11.057,Vladamin Seal of the Martyr Vladamin 53 (U: 53),
00:12.141,Rage Winterchill Melee Armadomin Dodge,
00:12.556,Deceptionsz Super Sapper Charge Deceptionsz 790 (U: 790),
00:13.157,Vladamin Seal of the Martyr Vladamin 98 (U: 98),
00:13.157,Vladamin Seal of the Martyr Vladamin 154 (U: 154),
00:13.576,Rage Winterchill Melee Armadomin Dodge,
00:15.029,Rage Winterchill Melee Armadomin Dodge,
00:15.269,Vladamin Seal of the Martyr Vladamin 231 (U: 231),
00:15.269,Vladamin Seal of the Martyr Vladamin 219 (U: 219),
00:16.380,Rage Winterchill Melee Armadomin Dodge,
00:17.346,Vladamin Seal of the Martyr Vladamin 212 (U: 212),
00:18.044,Vladamin Judgement of the Martyr Vladamin 258 (U: 258),
00:18.493,Rage Winterchill Melee Armadomin Dodge,
00:19.442,Vladamin Seal of the Martyr Vladamin 91 (U: 91),
00:19.947,"Rage Winterchill Melee Armadomin 5034 Crushing (U: 12601, M: 7567, 60.05%)",
00:21.044,Rage Winterchill Melee Armadomin Dodge,
00:21.546,Vladamin Seal of the Martyr Vladamin 105 (U: 105),
00:21.546,Vladamin Seal of the Martyr Vladamin 101 (U: 101),
00:22.903,Rage Winterchill Icebolt Deceptionsz 5085 (U: 5085),
00:23.627,Vladamin Seal of the Martyr Vladamin 219 (U: 219),
00:23.754,Environment Shadow Word: Death Eriic Tick 2496 (U: 2496),
00:23.917,Rage Winterchill Icebolt Deceptionsz Tick 2493 (U: 2493),
00:24.911,Rage Winterchill Icebolt Deceptionsz Tick 2492 (U: 2492),
00:25.042,"Rage Winterchill Melee Armadomin 4791 Crushing (U: 10181, M: 5390, 52.94%)",
00:25.807,Vladamin Seal of the Martyr Vladamin 232 (U: 232),
00:25.910,Rage Winterchill Icebolt Deceptionsz Tick 443 (A: 2049) (U: 2492),
00:26.307,Vladamin Judgement of the Martyr Vladamin 521 (U: 521),
00:26.928,Rage Winterchill Icebolt Deceptionsz Tick 2493 (U: 2493),
00:27.449,"Rage Winterchill Melee Armadomin 3648 (U: 11628, M: 7980, 68.63%)",
00:27.646,"Rage Winterchill Frost Nova Hilfedanke 2576 (U: 2820, M: 244, 8.65%)",
00:27.646,Rage Winterchill Frost Nova Xrd 2893 (U: 2893),
00:27.646,Rage Winterchill Frost Nova Felbear 2893 (U: 2893),
00:27.646,Rage Winterchill Frost Nova Armadomin 2911 (U: 2911),
00:27.646,Rage Winterchill Frost Nova Newtslippers 3285 (U: 2844),
00:27.646,Rage Winterchill Frost Nova Vladamin 2913 (U: 2913),
00:27.646,Rage Winterchill Frost Nova Mercychan 3084 (U: 3084),
00:27.650,Rage Winterchill Frost Nova Totemeski 3109 (U: 3109),
00:27.650,Rage Winterchill Frost Nova Deceptionsz 3170 (U: 3170),
00:27.650,"Rage Winterchill Frost Nova Shlamm 2575 (U: 2861, M: 286, 10.00%)",
00:27.650,Rage Winterchill Frost Nova Alliance Footman 5 3134 (U: 3134),
00:27.650,Rage Winterchill Frost Nova Alliance Knight 1 2950 (U: 2950),
00:27.650,Rage Winterchill Frost Nova Alliance Knight 2 2860 (U: 2860),
00:27.650,Rage Winterchill Frost Nova Alliance Footman 4 2950 (U: 2950),
00:27.650,Rage Winterchill Frost Nova Alliance Footman 6 3133 (U: 3133),
00:27.650,Rage Winterchill Frost Nova Alliance Footman 1 3002 (U: 3002),
00:27.650,Rage Winterchill Frost Nova Alliance Footman 3 2974 (U: 2974),
00:27.650,Rage Winterchill Frost Nova Alliance Footman 2 2978 (U: 2978),
00:27.650,Rage Winterchill Frost Nova Formulatank 3330 (U: 3107),
00:28.340,Vladamin Seal of the Martyr Vladamin 198 (U: 198),
00:28.542,Rage Winterchill Melee Armadomin Dodge,
00:29.946,Rage Winterchill Melee Armadomin Dodge,
00:30.869,Vladamin Seal of the Martyr Vladamin 68 (U: 68),
00:31.055,"Rage Winterchill Melee Armadomin 5161 Crushing (U: 10968, M: 5807, 52.94%)",
00:32.248,Rage Winterchill Melee Armadomin Dodge,
00:33.383,Rage Winterchill Death & Decay Gumswarm Resist,
00:33.383,Rage Winterchill Death & Decay Saybaah Resist,
00:33.479,Vladamin Seal of the Martyr Vladamin 85 (U: 85),
00:33.479,Vladamin Seal of the Martyr Vladamin 79 (U: 79),
00:34.307,Vladamin Judgement of the Martyr Vladamin 197 (U: 197),
00:34.358,Rage Winterchill Death & Decay Alliance Knight 3 Tick 12574 (U: 12574),
00:34.358,Rage Winterchill Death & Decay Alliance Rifleman 1 Tick 6287 (U: 6287),
00:34.358,Rage Winterchill Death & Decay Alliance Rifleman 2 Tick 6288 (U: 6288),
00:34.358,Rage Winterchill Death & Decay Apronos Tick 1513 (U: 1513),
00:34.358,Rage Winterchill Death & Decay Gumswarm Tick 1448 (U: 1448),
00:34.358,Rage Winterchill Death & Decay Saybaah Tick 1439 (U: 1439),
00:34.358,Rage Winterchill Death & Decay Eriic Tick 1445 (U: 1445),
00:34.358,Rage Winterchill Death & Decay Saintacy Tick (A: 1443) (U: 1443),
